unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT
1651777200,2022-05-05 19:00:00,BTC/USDT,36213.82,36285.74,35721.31,36281.66,3.28447292,119166.12976264721
1651773600,2022-05-05 18:00:00,BTC/USDT,36763.00,36763.00,36000.00,36070.08,1.07461634,38761.4973531072
1651770000,2022-05-05 17:00:00,BTC/USDT,37000.00,37000.00,36933.10,36933.10,0.64882845,23963.246026695
1651766400,2022-05-05 16:00:00,BTC/USDT,36845.11,37352.48,36845.11,37151.89,1.01518133,37715.90510221371
1651762800,2022-05-05 15:00:00,BTC/USDT,38100.00,38100.00,36500.00,36926.09,6.49411156,239802.1479346004
1651759200,2022-05-05 14:00:00,BTC/USDT,38942.08,38974.27,38219.76,38228.70,0.43245150,16532.05865805
1651755600,2022-05-05 13:00:00,BTC/USDT,39433.85,39433.85,38951.94,38951.94,0.59892930,23329.458157842
1651752000,2022-05-05 12:00:00,BTC/USDT,39481.34,39481.34,39481.34,39481.34,0.00000000,0.0
1651748400,2022-05-05 11:00:00,BTC/USDT,39492.39,39492.39,39481.34,39481.34,0.13891061,5484.3770230174
1651744800,2022-05-05 10:00:00,BTC/USDT,39522.63,39522.63,39522.63,39522.63,0.00000000,0.0
1651741200,2022-05-05 09:00:00,BTC/USDT,39509.97,39522.63,39509.97,39522.63,0.66787949,26396.3539678587
1651737600,2022-05-05 08:00:00,BTC/USDT,39514.30,39580.33,39514.30,39580.33,0.07194897,2847.7639757601
1651734000,2022-05-05 07:00:00,BTC/USDT,39587.84,39618.81,39587.84,39618.81,0.11483550,4549.6458557549995
1651730400,2022-05-05 06:00:00,BTC/USDT,39631.88,39650.39,39583.25,39583.25,0.90912681,35986.193801932495
1651726800,2022-05-05 05:00:00,BTC/USDT,39600.51,39600.51,39576.20,39589.50,0.50647925,20051.260267875
1651723200,2022-05-05 04:00:00,BTC/USDT,39709.91,39709.91,39709.91,39709.91,0.00000000,0.0
1651719600,2022-05-05 03:00:00,BTC/USDT,39735.66,39735.66,39709.91,39709.91,0.03272749,1299.6056824259
1651716000,2022-05-05 02:00:00,BTC/USDT,39611.17,39774.16,39611.17,39774.16,0.72746899,28934.468003298403
1651712400,2022-05-05 01:00:00,BTC/USDT,39616.92,39616.92,39616.92,39616.92,0.00000000,0.0
1651708800,2022-05-05 00:00:00,BTC/USDT,39616.92,39616.92,39616.92,39616.92,0.00000000,0.0
1651705200,2022-05-04 23:00:00,BTC/USDT,39658.03,39665.53,39616.92,39616.92,0.16778935,6647.297255802
1651701600,2022-05-04 22:00:00,BTC/USDT,39701.87,39759.85,39701.87,39727.72,0.06759764,2685.5001145808
1651698000,2022-05-04 21:00:00,BTC/USDT,39787.11,39849.33,39787.11,39827.57,0.10250934,4082.6979145038003
1651694400,2022-05-04 20:00:00,BTC/USDT,39901.91,39906.17,39901.91,39906.17,0.12713884,5073.6241626428
